file,latitude,longitude,gps_altitude_m,reference_elevation_m,delta_m
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.140479,-70.083058,2305.6,2272.5,-33.1
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.142023,-70.084005,2262.9,2274.9,12.0
fdr_Test_Ruta_minerva_Jorge_1785950006598.gpx,-35.147913,-70.081359,2290.7,2263.5,-27.2
fdr_Test_Ruta_minerva_Jorge_1785954546945.gpx,-35.149062,-70.084144,2310.9,2287.8,-23.1
fdr_Test_Ruta_minerva_Jorge_1785954546945.gpx,-35.149062,-70.084144,2310.9,2287.8,-23.1
fdr_Test_Ruta_minerva_Jorge_1785954546945.gpx,-35.149062,-70.084144,2310.9,2287.8,-23.1
fdr_Test_Ruta_minerva_Jorge_1785956920645.gpx,-35.146660,-70.081017,2283.6,2249.2,-34.4
fdr_Test_Ruta_minerva_Jorge_1785956925826.gpx,-35.136108,-70.080067,2294.2,2224.8,-69.4
fdr_Test_Ruta_minerva_Jorge_1785956925826.gpx,-35.136082,-70.080196,2294.2,2224.8,-69.4
fdr_Test_Ruta_minerva_Jorge_1785956925826.gpx,-35.136082,-70.080196,2294.2,2224.8,-69.4
fdr_Test_Ruta_minerva_Jorge_1785956925826.gpx,-35.136082,-70.080196,2294.2,2224.8,-69.4
fdr_Test_Ruta_minerva_Jorge_1785957145087.gpx,-35.147489,-70.079765,2285.7,2255.8,-29.9
fdr_Test_Ruta_minerva_Jorge_1785957156837.gpx,-35.135003,-70.087542,2285.7,2409.6,123.9
fdr_Test_Ruta_minerva_Jorge_1785957156837.gpx,-35.135003,-70.087542,2285.7,2409.6,123.9
fdr_Test_Ruta_minerva_Jorge_1785957156837.gpx,-35.135003,-70.087542,2285.7,2409.6,123.9
fdr_Test_Ruta_minerva_Jorge_1785957404068.gpx,-35.137930,-70.086620,2305.6,2350.2,44.6
fdr_Test_Ruta_minerva_Jorge_1785970761512.gpx,-35.140420,-70.082932,2304.8,2271.1,-33.7
fdr_Test_Ruta_minerva_Jorge_1786023046084.gpx,-35.142556,-70.082981,2295.3,2262.8,-32.5
fdr_Test_Ruta_minerva_Jorge_1786023046084.gpx,-35.142610,-70.083050,2295.3,2264.6,-30.7
fdr_Test_Ruta_minerva_Jorge_1786023046084.gpx,-35.142610,-70.083050,2295.3,2264.6,-30.7
fdr_Test_Ruta_minerva_Jorge_1786023046084.gpx,-35.142610,-70.083050,2295.3,2264.6,-30.7
fdr_Test_Ruta_minerva_Jorge_1786028125796.gpx,-35.142558,-70.083014,2278.9,2262.8,-16.1
fdr_Test_Ruta_minerva_Jorge_1786028125796.gpx,-35.142541,-70.083180,2262.9,2264.6,1.7
fdr_Test_Ruta_minerva_Jorge_1786028125796.gpx,-35.142636,-70.083054,2295.3,2264.6,-30.7
fdr_Test_Ruta_minerva_Jorge_1786028125796.gpx,-35.147377,-70.079625,2286.5,2251.3,-35.2
